id,latitude,longitude
19147,34.95361111,-86.88361111
19146,34.63813889,-86.89986111
19145,34.69925,-86.25025
19144,34.37536111,-86.51886111
19143,34.91425,-86.59180556
32574,32.69472222,-85.14972222
32575,32.66616667,-85.353
6052,32.79163889,-88.22916667
6051,31.76888889,-88.4075
6050,31.75352778,-88.15947222
6049,32.84347222,-87.478
6048,32.49777778,-87.71805556
6046,33.10055556,-88.08972222
6045,32.46255556,-88.118
6044,33.32294444,-87.88666667
6043,32.45433333,-88.36938889
6042,32.22722222,-88.05055556
6041,33.62722222,-87.85194444
6040,33.45663889,-88.06
6039,33.76005556,-88.04686111
6038,32.18,-87.78138889
6037,32.88283333,-87.85538889
6036,32.02833333,-88.27166667
6035,32.60972222,-88.19666667
19120,34.87119444,-87.34391667
19089,34.87119444,-87.34391667
14248,30.472,-88.40027778
14247,30.23738889,-87.867
39992,33.29233333,-87.60194444
39991,33.22066667,-87.20777778
13881,33.71305556,-87.39294444
13880,33.90069444,-87.48497222
39684,32.18972222,-85.04888889
37178,31.02027778,-85.39888889
37179,31.34333333,-85.55166667
37180,31.22972222,-85.38777778
37181,31.17,-85.19138889
37182,31.49305556,-85.67194444
37183,31.57013889,-85.75991667
37184,31.18147222,-85.23763889
13879,33.53066667,-87.08969444
13878,33.86194444,-87.36361111
13877,33.56897222,-86.54536111
13869,33.45913889,-87.00741667
13862,33.129,-86.79972222
13856,33.61361111,-86.26222222
23188,35.09352778,-90.63152778
23189,34.49516667,-91.57519444
23190,34.66636111,-91.37352778
23191,34.34308333,-91.53702778
23192,34.43580556,-90.78197222
23193,34.42327778,-91.70088889
46739,34.53583333,-93.43361111
46738,34.01311111,-93.49241667
46737,34.69063889,-93.94280556
13775,35.28791667,-90.22925
13776,35.28316667,-90.45008333
10243,34.2265,-91.99986111
10242,34.09472222,-91.69833333
46736,34.59611111,-94.24444444
34808,36.34602778,-93.4885
34855,36.397,-91.96605556
34809,36.44180556,-93.97394444
17538,34.34602778,-94.41666667
17539,34.03113889,-93.50369444
17544,34.54222222,-93.61830556
17545,34.69088889,-93.94272222
17546,34.53583333,-93.43361111
17547,34.31866667,-93.56961111
17549,34.0395,-93.94636111
17550,34.65708333,-94.24872222
17552,34.20911111,-93.93861111
17553,33.88997222,-94.16511111
17554,34.15613889,-94.31116667
10835,33.316,-92.14869444
10836,33.13783333,-91.33758333
10837,34.10727778,-92.18247222
23194,35.24894444,-91.02883333
10838,33.76411111,-92.31238889
23195,34.84686111,-91.25375
23196,34.90480556,-91.20941667
35001,34.93466667,-92.80244444
35002,35.13133333,-93.63616667
34810,36.19358333,-93.199
46740,33.86858333,-94.09325
35003,35.06408333,-92.59630556
35004,34.69063889,-93.94280556
35005,35.71733333,-92.51258333
35019,34.54313889,-92.87469444
35020,33.82463889,-92.44930556
35021,33.91977778,-92.83963889
35022,34.43394444,-92.20063889
35023,34.26008333,-93.44322222
12613,34.92163889,-94.09402778
12612,35.28647222,-94.04352778
12605,35.16430556,-93.67761111
35024,34.01311111,-93.49241667
35025,34.69086111,-93.05125
35026,34.17458333,-92.13908333
35027,34.63963889,-93.35511111
18409,33.18108333,-93.63216667
18410,33.96363889,-93.17527778
18411,33.94380556,-93.29777778
18412,33.59297222,-93.31008333
12379,33.22477778,-93.62155556
12378,33.16205556,-93.45208333
12377,33.23330556,-93.10625
12376,33.48713889,-93.60213889
12375,33.34525,-93.21236111
12374,33.71652778,-93.90688889
12373,33.23694444,-93.27222222
12372,33.88666667,-93.73583333
12371,33.68611111,-93.16416667
12370,33.37361111,-93.535
12369,33.81694444,-93.41833333
12368,33.62372222,-93.73711111
23197,35.24475,-90.78988889
28121,36.17105556,-94.53988889
23180,34.53008333,-90.61097222
28114,36.25225,-94.48683333
46743,35.02088889,-94.12175
28115,35.79627778,-94.16791667
28116,36.44180556,-93.97394444
18413,33.57194444,-92.87591667
10241,34.10727778,-92.18247222
10240,34.35916667,-91.85916667
10239,34.37005556,-92.16844444
34811,36.41766667,-93.72936111
34812,35.96352778,-93.15188889
34813,36.24211111,-93.31141667
34967,34.49516667,-91.57522222
34856,36.4645,-92.88325
34814,36.38163889,-92.93544444
34883,35.58175,-91.58980556
34884,36.30297222,-91.40172222
28117,36.42863889,-94.47686111
29963,35.03055556,-91.97277778
29964,34.84455556,-92.55611111
29965,34.52061111,-92.23486111
3563,35.24555556,-90.78916667
18414,33.11186111,-93.19013889
18415,33.61747222,-93.79969444
18416,33.97138889,-93.20547222
18417,33.87441667,-93.57736111
18418,33.84883333,-93.72452778
18419,33.77541667,-93.81025
18420,33.25019444,-93.05263889
18421,33.17883333,-93.29908333
3562,35.09725,-90.60791667
3561,34.93866667,-91.1085
3559,34.75369444,-90.75925
3558,34.50111111,-90.99225
11485,36.34888889,-92.40055556
11486,36.38144444,-91.82541667
28118,35.90177778,-93.99152778
34821,36.36338889,-92.71511111
18422,33.40333333,-93.48944444
25269,33.27083333,-93.85777778
25270,33.11108333,-93.88997222
25271,33.66694444,-94.12583333
25273,33.49083333,-93.96391667
25275,33.73336111,-94.39122222
28119,36.31483333,-93.95175
46735,33.98694444,-94.3295
46734,34.346,-94.41736111
46733,34.31866667,-93.56961111
35028,33.82041667,-92.71338889
35029,33.94380556,-93.29777778
35030,33.96363889,-93.17527778
35031,34.44916667,-92.53083333
28120,36.43369444,-94.33719444
443,36.41058333,-90.89608333
442,36.25591667,-91.02322222
3500,36.41230556,-93.22436111
3501,36.22930556,-93.11091667
3505,36.45555556,-92.91794444
441,35.56458333,-90.82316667
440,35.22425,-91.22147222
13790,35.28316667,-90.45008333
13789,35.28791667,-90.22925
439,35.64833333,-91.63333333
434,35.59722222,-91.24222222
46732,33.94869444,-93.83038889
34885,36.05975,-91.60291667
45515,33.55455556,-92.96269444
13784,35.17472222,-90.18583333
45516,33.93777778,-92.02633333
3546,35.24894444,-91.02883333
45517,33.85622222,-92.29755556
34886,35.46080556,-91.37997222
34887,35.93819444,-91.55961111
34857,36.14805556,-92.79111111
3423,35.22425,-91.22147222
3427,35.3725,-92.14
34873,36.29466667,-90.99480556
34874,36.30355556,-91.48666667
7589,36.05522222,-92.87383333
7588,36.05177778,-92.80025
34926,36.25402778,-90.40986111
7587,35.49472222,-92.89958333
7586,35.82130556,-92.53052778
34875,35.77447222,-91.68761111
34927,35.89333333,-89.90638889
34928,35.58930556,-90.68077778
34876,36.05833333,-90.94336111
3547,34.12816667,-91.35441667
3548,34.93233333,-90.49386111
3549,35.27852778,-90.61102778
3550,34.34308333,-91.53702778
3552,35.02277778,-90.82916667
3553,34.90719444,-91.23744444
3554,34.52111111,-91.52027778
7585,35.88905556,-92.61469444
34968,35.38325,-91.52463889
34969,35.62983333,-92.23633333
34970,35.11925,-91.91955556
34971,34.64888889,-91.55525
34929,36.41155556,-90.70891667
34930,36.39913889,-90.19433333
34877,35.82211111,-91.12277778
34878,35.58288889,-91.06097222
34931,35.60838889,-90.93425
34932,35.8855,-90.78561111
34933,36.03155556,-90.51666667
34934,36.06844444,-90.63280556
